1,1,13.056622,80.185432,9405001301,Karsin,TRUE,1
2,2,13.056956,80.166206,8870112105,Ganesh,TRUE,2
3,3,12.902384,80.187836,8940637859,Vishnu,TRUE,3
4,4,13.084572,80.277958,8870112105,Karsin,TRUE,1
5,5,13.072826,80.284803,9176279165,Ganesh,TRUE,2
6,6,13.074916,80.259225,9698828934,Vishnu,TRUE,3
7,7,13.066325,80.281906,9003900237,Karsin,TRUE,1
8,8,13.058508,80.263066,9698074887,Ganesh,TRUE,2
9,9,13.052969,80.271413,9531943965,Vishnu,TRUE,3
10,10,13.056062,80.250835,9047127168,Karsin,TRUE,1
11,11,12.902384,80.176849,9243777970,Karsin,TRUE,2
12,12,13.039784,80.213242,9626183739,Ganesh,TRUE,3
13,13,13.031088,80.261307,8056802597,Vishnu,TRUE,1
14,14,13.04246,80.199509,9176522735,Karsin,TRUE,2
15,15,13.039784,80.242081,9600695996,Ganesh,TRUE,3
16,16,12.95013,80.14183,8754685331,Vishnu,TRUE,1
17,17,12.941431,80.230408,9677880355,Karsin,TRUE,2
